,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
0,Marcos Acuña,ar ARG,DF,Sevilla,31-015,1991,10,7,551,6.1,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00
1,Álvaro Aguado,es ESP,MF,Valladolid,26-195,1996,13,8,747,8.3,0,2,0,0,0,1,0,0.00,0.24,0.24,0.00,0.24
2,Joseph Aidoo,gh GHA,DF,Celta Vigo,27-044,1995,14,14,"1,260",14.0,1,0,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07
3,Sergio Akieme,es ESP,DF,Almería,24-331,1997,14,14,"1,260",14.0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00
4,Paul Akouokou,ci CIV,MF,Betis,24-327,1997,6,2,238,2.6,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
5,David Alaba,at AUT,DF,Real Madrid,30-141,1992,14,13,"1,165",12.9,1,3,1,0,0,3,0,0.08,0.23,0.31,0.08,0.31
6,Tomás Alarcón,cl CHI,MF,Cádiz,23-297,1999,4,2,223,2.5,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00
7,Jordi Alba,es ESP,DF,Barcelona,33-236,1989,10,7,682,7.6,0,1,0,0,0,2,0,0.00,0.13,0.13,0.00,0.13
8,Raúl Albiol,es ESP,DF,Villarreal,37-069,1985,13,13,"1,159",12.9,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00
9,Rubén Alcaraz,es ESP,MF,Cádiz,31-195,1991,10,5,513,5.7,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00
10,Omar Alderete,py PAR,DF,Getafe,25-321,1996,2,1,135,1.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
11,Iván Alejo,es ESP,"MF,FW",Cádiz,27-275,1995,12,8,657,7.3,0,1,0,0,0,5,0,0.00,0.14,0.14,0.00,0.14
12,Carles Aleñá,es ESP,MF,Getafe,24-311,1998,13,13,"1,022",11.4,2,2,2,0,0,6,0,0.18,0.18,0.35,0.18,0.35
13,Alejandro Alfaro,es ESP,MF,Elche,20-150,2002,1,0,15,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00
14,Ángel Algobia,es ESP,MF,Getafe,23-142,1999,8,4,362,4.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00
15,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,18-297,2004,7,2,243,2.7,0,2,0,0,0,1,0,0.00,0.74,0.74,0.00,0.74
16,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,22-166,2000,11,8,706,7.8,2,2,2,0,0,0,0,0.25,0.25,0.51,0.25,0.51
17,Marcos Alonso,es ESP,DF,Barcelona,31-319,1990,7,4,450,5.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00
18,Gastón Álvarez,uy URU,DF,Getafe,22-233,2000,7,4,429,4.8,2,0,2,0,0,0,1,0.42,0.00,0.42,0.42,0.42
19,Yeray Álvarez,es ESP,DF,Athletic Club,27-292,1995,12,12,"1,056",11.7,0,1,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09
