,Estadio,Capacidad,Equipo
0,Camp Nou,"99,354",Barcelona
1,Santiago Bernabeu,81.044,Real Madrid
2,Estadio Metropolitano,68.456,Atletico Madrid
3,Benito Villamarín,60.721,Real Betis
4,Lluís Companys,"60,713",FC Penger
5,La Cartuja,60.000,Ninguno
6,San Mamés,53.289,Athletic de bilbao
7,Mestalla,48.600,Valencia
8,Ramón Sánchez Pizjuán,43.883,Sevilla
9,Estadio RCDE,40.000,Espanyol
10,Anoeta,"39,500",Real Sociedad
11,Martínez Valero,33.732,Elche
12,La Romareda,"33,608",Zaragoza
13,Abanca Riazor,32.660,Deportivo La Coruña
14,Gran Canaria,32.400,las Palmas
15,Nueva Condomina,31.179,Murcia
16,Carlos Tartiere,30.500,Oviedo
17,La Rosaleda,30.044,Málaga
18,José Rico Pérez,29.500,Hércules
19,El Molinón,29.029,Sporting de Gijón
20,Balaídos,29.000,Celta de Vigo
21,José Zorrilla,"27,846",Valladolid
22,Ciutat de Valencia,"26,354",Levante
23,Ramón de Carranza,25.033,Cádiz
24,El Sadar,23.576,Osasuna
25,Estadio de la Cerámica,23.500,Villarreal
26,Son Moix,23.142,Mallorca
27,Heliodoro Rodríguez López,"22,824",Tenerife
28,El Sardinero,"22,222",Racing de Santander
29,Nuevo Colombino,"21,670",Recreativo
30,Estadio del Mediterráneo,"21,350",Almería
31,Nuevo Arcángel,"20,989",Córdoba
32,Chapín,"20,523",Xerez
33,Mendizorrotza,"19,840",Alavés
34,Los Cármenes,"19,336",Granada
35,Carlos Belmonte,"17,524",Albacete
36,Coliseum Alfonso Pérez,17.393,Getafe
37,El Helmántico,17.341,Salamanca CF
38,Municipal La Línea,"16,120",Linense
39,Estadio Las Gaunas,"15,902",UD Logroñés Logroño
40,Nuevo Vivero,15.198,Badajoz
41,Cartagonova,"15,105",Cartagena
42,Romano,"14,600",Mérida
43,Nou Estadi,"14,591",Gimnàstic
44,Vallecas,14.505,Rayo Vallecano
45,Castalia,14.485,Castellón
46,El Soto,14.000,Móstoles
47,Camp d'esports,13.500,Lleida Esportiu
48,Juan Rojas,"13,468",Almería (rugby)
49,Montilivi,13.450,Girona
50,Reino de León,"13,346",Cultural Leonesa
51,El Plantío,"12,642",Burgos Real Burgos
52,La Victoria,"12,569",Jaén
53,Butarque,"12,450",Leganés
54,Nacional Complutense,"12,400",Cisneros (rugby)
55,Una malata,"12,042",Racing Ferrol
56,Vero Boquete de San Lázaro,12.000,Compostela
57,Nova Creu Alta,"11,981",Sabadell
58,Francisco de la Hera,11.580,Extremadura
59,Olímpic de Terrassa,"11,500",Terrassa
60,Estadio Ciudad de Tudela,11.000,Tudelano
61,Ciudad de Málaga ( es ),"10,816",Atletismo
62,Pasarón,"10,500",Pontevedra
63,Álvarez Claro,"10,000",Melilla
64,Linarejos,"10,000",Linares
65,Las Mestas,"10,000",Marineros de Gijón (fútbol americano) CSI Gijón (salto a caballo)
