,Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG
0,Almería,26,26.5,45.1,14,154,"1,260",14.0,16,12,16,0,0,47,3,1.14,0.86,2.00,1.14,2.00,13.7,13.7,9.7,23.4,0.98,0.69,1.67,0.98,1.67
1,Athletic Club,25,27.9,52.4,14,154,"1,260",14.0,23,17,21,2,3,23,1,1.64,1.21,2.86,1.50,2.71,21.6,19.2,15.4,34.7,1.54,1.10,2.64,1.37,2.48
2,Atlético Madrid,23,29.0,49.8,14,154,"1,260",14.0,20,16,20,0,0,43,2,1.43,1.14,2.57,1.43,2.57,18.2,18.2,14.2,32.4,1.30,1.01,2.32,1.30,2.32
3,Barcelona,25,26.5,64.3,14,154,"1,260",14.0,33,23,33,0,1,33,3,2.36,1.64,4.00,2.36,4.00,32.6,31.8,22.9,54.8,2.33,1.64,3.96,2.27,3.91
4,Betis,27,28.8,50.1,14,154,"1,260",14.0,16,9,13,3,3,33,7,1.14,0.64,1.79,0.93,1.57,18.5,16.1,11.9,28.0,1.32,0.85,2.17,1.15,2.00
5,Cádiz,27,29.3,40.6,14,154,"1,260",14.0,8,6,8,0,0,40,5,0.57,0.43,1.00,0.57,1.00,10.0,10.0,5.9,15.9,0.71,0.42,1.14,0.71,1.14
6,Celta Vigo,21,27.7,51.5,14,154,"1,260",14.0,14,12,13,1,2,31,3,1.00,0.86,1.86,0.93,1.79,13.7,12.2,9.9,22.1,0.98,0.71,1.69,0.87,1.58
7,Elche,26,28.8,43.4,14,154,"1,260",14.0,10,9,9,1,2,43,3,0.71,0.64,1.36,0.64,1.29,10.3,8.7,6.9,15.6,0.73,0.49,1.22,0.62,1.11
8,Espanyol,25,28.1,42.5,14,154,"1,260",14.0,16,9,14,2,2,28,4,1.14,0.64,1.79,1.00,1.64,15.8,14.2,11.7,25.9,1.13,0.83,1.96,1.02,1.85
9,Getafe,24,27.7,39.0,14,154,"1,260",14.0,12,7,12,0,2,46,6,0.86,0.50,1.36,0.86,1.36,9.8,8.3,6.9,15.2,0.70,0.49,1.19,0.59,1.08
