Id,Stadium,Capacity,Team
0,Camp Nou,99354,Barcelona
1,Santiago Bernabeu,81044,Real Madrid
2,Estadio Metropolitano,68456,Atletico Madrid
3,Benito Villamarín,60721,Betis
4,Lluís Companys,60713,FC Penger
5,La Cartuja,60000,Ninguno
6,San Mamés,53289,Athletic Club
7,Mestalla,48600,Valencia
8,Ramón Sánchez Pizjuán,43883,Sevilla
9,Estadio RCDE,40000,Espanyol
10,Anoeta,39500,Real Sociedad
11,Martínez Valero,33732,Elche
12,La Romareda,33608,Zaragoza
13,Abanca Riazor,32660,Deportivo La Coruña
14,Gran Canaria,32400,Las Palmas
15,Nueva Condomina,31179,Murcia
16,Carlos Tartiere,30500,Oviedo
17,La Rosaleda,30044,Malaga
18,José Rico Pérez,29500,Hercules
19,El Molinón,29029,Sporting Gijon
20,Balaídos,29000,Celta Vigo
21,José Zorrilla,27846,Valladolid
22,Ciutat de Valencia,26354,Levante
23,Ramón de Carranza,25033,Cadiz
24,El Sadar,23576,Osasuna
25,Estadio de la Cerámica,23500,Villarreal
26,Son Moix,23142,Mallorca
27,Heliodoro Rodríguez López,22824,Tenerife
28,El Sardinero,22222,Racing Sant
29,Nuevo Colombino,21670,Recreativo
30,Estadio del Mediterráneo,21350,Almeria
31,Nuevo Arcángel,20989,Cordoba
32,Chapín,20523,Xerez
33,Mendizorrotza,19840,Alaves
34,Los Cármenes,19336,Granada
35,Carlos Belmonte,17524,Albacete
36,Coliseum Alfonso Pérez,17393,Getafe
37,El Helmántico,17341,Salamanca CF
38,Municipal La Línea,16120,Linense
39,Estadio Las Gaunas,15902,UD Logroñes Logroño
40,Nuevo Vivero,15198,Badajoz
41,Cartagonova,15105,Cartagena
42,Romano,14600,Merida
43,Nou Estadi,14591,Gimnàstic
44,Vallecas,14505,Rayo Vallecano
45,Castalia,14485,Castellon
46,El Soto,14000,Mostoles
47,Camp d'esports,13500,Lleida Esportiu
48,Juan Rojas,13468,Almeria (rugby)
49,Montilivi,13450,Girona
50,Reino de León,13346,Cultural Leonesa
51,El Plantío,12642,Burgos
52,La Victoria,12569,Jaen
53,Butarque,12450,Leganes
54,Nacional Complutense,12400,Cisneros (rugby)
55,Una malata,12042,Racing Ferrol
56,Vero Boquete de San Lázaro,12000,Compostela
57,Nova Creu Alta,11981,Sabadell
58,Francisco de la Hera,11580,Extremadura
59,Olímpic de Terrassa,11500,Terrassa
60,Estadio Ciudad de Tudela,11000,Tudelano
61,Ciudad de Málaga ( es ),10816,Atletismo
62,Pasarón,10500,Pontevedra
63,Álvarez Claro,10000,Melilla
64,Linarejos,10000,Linares
65,Las Mestas,10000,Marineros de Gijon (futbol americano) CSI Gijon (salto a caballo)
66,Estadio Nacional,3306,Andorra
67,Estadio Municipal de Anduva,5759,CD Mirandes
68,Estadio Municipal de Ipurúa,8164,Eibar
69,El Alcoraz,9100,Huesca
70,Estadio Ángel Carro,7114,Lugo
71,Estadio Municipal El Toralín,8400,Ponferradina
72,Estadio Palladium Can Misses,6000,UD Ibiza
73,Ciudad Deportiva del Villarreal,5000,Villarreal B
