Id,Team,Pl,Age,Poss,Pj,Starts,Min,90s,Gls,Ast,GNP,GP,PS,CrdY,CrdR,Gls/Pj,Ast/Pj,G+A,GNP/Pj,G+A-P/Pj,Id_Stadium
0,Almeria,26,26.5,45.1,14,154,1260,14.0,16,12,16,0,0,47,3,1.14,0.86,2.0,1.14,2.0,30
1,Athletic Club,25,27.9,52.4,14,154,1260,14.0,23,17,21,2,3,23,1,1.64,1.21,2.86,1.5,2.71,6
2,Atletico Madrid,23,29.0,49.8,14,154,1260,14.0,20,16,20,0,0,43,2,1.43,1.14,2.57,1.43,2.57,2
3,Barcelona,25,26.5,64.3,14,154,1260,14.0,33,23,33,0,1,33,3,2.36,1.64,4.0,2.36,4.0,0
4,Betis,27,28.8,50.1,14,154,1260,14.0,16,9,13,3,3,33,7,1.14,0.64,1.79,0.93,1.57,3
5,Cadiz,27,29.3,40.6,14,154,1260,14.0,8,6,8,0,0,40,5,0.57,0.43,1.0,0.57,1.0,23
6,Celta Vigo,21,27.7,51.5,14,154,1260,14.0,14,12,13,1,2,31,3,1.0,0.86,1.86,0.93,1.79,20
7,Elche,26,28.8,43.4,14,154,1260,14.0,10,9,9,1,2,43,3,0.71,0.64,1.36,0.64,1.29,11
8,Espanyol,25,28.1,42.5,14,154,1260,14.0,16,9,14,2,2,28,4,1.14,0.64,1.79,1.0,1.64,9
9,Getafe,24,27.7,39.0,14,154,1260,14.0,12,7,12,0,2,46,6,0.86,0.5,1.36,0.86,1.36,36
10,Girona,25,26.5,52.7,14,154,1260,14.0,19,14,15,4,5,32,0,1.36,1.0,2.36,1.07,2.07,49
11,Mallorca,23,28.1,41.2,14,154,1260,14.0,13,9,11,2,3,59,2,0.93,0.64,1.57,0.79,1.43,26
12,Osasuna,22,28.3,46.1,14,154,1260,14.0,16,11,12,4,5,46,4,1.14,0.79,1.93,0.86,1.64,24
13,Rayo Vallecano,24,28.5,53.9,14,154,1260,14.0,19,13,16,3,4,39,2,1.36,0.93,2.29,1.14,2.07,44
14,Real Madrid,22,27.8,58.0,14,154,1260,14.0,33,24,30,3,5,24,1,2.36,1.71,4.07,2.14,3.86,1
15,Real Sociedad,27,26.1,56.0,14,154,1260,14.0,18,15,18,0,1,41,1,1.29,1.07,2.36,1.29,2.36,10
16,Sevilla,28,29.4,54.4,14,154,1260,14.0,13,10,13,0,0,57,6,0.93,0.71,1.64,0.93,1.64,8
17,Valencia,26,24.4,58.0,14,154,1260,14.0,22,12,18,4,6,41,4,1.57,0.86,2.43,1.29,2.14,7
